DATETIME,OPEN,HIGH,LOW,CLOSE
2021-04-19,1.1986,1.205,1.1943,1.2038
2021-04-20,1.2036,1.2081,1.2023,1.2038
2021-04-21,1.2036,1.2045,1.1999,1.2036
2021-04-22,1.2035,1.2071,1.1994,1.2018
2021-04-23,1.2017,1.2102,1.2013,1.2099
2021-04-26,1.2096,1.2119,1.2063,1.2088
2021-04-27,1.2086,1.2095,1.2057,1.2092
2021-04-28,1.2093,1.2136,1.2057,1.2126
2021-04-29,1.2127,1.2151,1.2103,1.2122
2021-04-30,1.212,1.2128,1.2017,1.202
2021-05-03,1.2033,1.2078,1.2014,1.2065
2021-05-04,1.2063,1.2071,1.2,1.2014
2021-05-05,1.2015,1.2029,1.1987,1.2006
2021-05-06,1.2007,1.2073,1.1994,1.2065
2021-05-07,1.2062,1.2173,1.2053,1.2163
2021-05-10,1.2164,1.2179,1.2128,1.213
2021-05-11,1.2131,1.2182,1.2124,1.2151
2021-05-12,1.2149,1.2156,1.2066,1.2073
2021-05-13,1.2074,1.2108,1.2052,1.2081
2021-05-14,1.2079,1.2149,1.2071,1.2147
2021-05-17,1.2147,1.217,1.2126,1.2152
2021-05-18,1.2151,1.2234,1.2151,1.2225
2021-05-19,1.2223,1.2247,1.216,1.2177
2021-05-20,1.2178,1.2231,1.2169,1.2228
2021-05-21,1.2229,1.2242,1.2162,1.2181
2021-05-24,1.2182,1.2231,1.2173,1.2217
2021-05-25,1.2218,1.2268,1.2212,1.2252
2021-05-26,1.2253,1.2265,1.2183,1.2195
2021-05-27,1.2193,1.2217,1.2175,1.2194
2021-05-28,1.2195,1.2207,1.2133,1.2195
2021-05-31,1.2194,1.2233,1.2184,1.2227
2021-06-01,1.2228,1.2256,1.2212,1.2216
2021-06-02,1.2215,1.2229,1.2165,1.2213
2021-06-03,1.2211,1.2217,1.2119,1.2127
2021-06-04,1.2129,1.2186,1.2104,1.2167
2021-06-07,1.2168,1.2204,1.2145,1.219
2021-06-08,1.2191,1.2196,1.2165,1.2173
2021-06-09,1.2174,1.222,1.2171,1.218
2021-06-10,1.2182,1.2195,1.2145,1.2177
2021-06-11,1.2173,1.2196,1.2093,1.2111
2021-06-14,1.2106,1.2132,1.2095,1.212
2021-06-15,1.2122,1.2149,1.2103,1.2128
2021-06-16,1.2126,1.2137,1.1995,1.1997
2021-06-17,1.1995,1.2008,1.1893,1.1907
2021-06-18,1.1908,1.1928,1.1849,1.1864
2021-06-21,1.1859,1.1923,1.1848,1.192
2021-06-22,1.1918,1.1954,1.1881,1.1944
2021-06-23,1.1943,1.1972,1.1913,1.1927
2021-06-24,1.1928,1.1958,1.1919,1.1931
2021-06-25,1.1935,1.1977,1.1927,1.1938
2021-06-28,1.1934,1.1946,1.1904,1.1924
2021-06-29,1.1928,1.1931,1.1879,1.1899
2021-06-30,1.1897,1.1912,1.1846,1.1858
2021-07-01,1.1857,1.1886,1.1838,1.1852
2021-07-02,1.185,1.1876,1.1809,1.1865
2021-07-05,1.1865,1.1883,1.1851,1.1864
2021-07-06,1.1864,1.1897,1.1808,1.1823
2021-07-07,1.1825,1.184,1.1782,1.1792
2021-07-08,1.179,1.1869,1.1784,1.1848
2021-07-09,1.1847,1.1883,1.1825,1.1879
2021-07-12,1.1876,1.1882,1.1836,1.1863
2021-07-13,1.1862,1.1877,1.1773,1.1776
2021-07-14,1.1779,1.1841,1.1772,1.1838
2021-07-15,1.1837,1.1852,1.1797,1.1811
2021-07-16,1.1813,1.1824,1.1792,1.1806
2021-07-19,1.1805,1.1825,1.1764,1.18
2021-07-20,1.1803,1.1805,1.1756,1.1783
2021-07-21,1.1781,1.1807,1.1753,1.1796
2021-07-22,1.1797,1.1832,1.1758,1.1771
2021-07-23,1.1773,1.1788,1.1756,1.1772
2021-07-26,1.1773,1.1819,1.1764,1.1803
2021-07-27,1.1804,1.1843,1.1771,1.1818
2021-07-28,1.1819,1.1852,1.1774,1.1844
2021-07-29,1.1843,1.1895,1.1841,1.1889
2021-07-30,1.1887,1.191,1.1853,1.1869
2021-08-02,1.187,1.1898,1.186,1.1874
2021-08-03,1.1872,1.1895,1.1855,1.1865
2021-08-04,1.1867,1.1902,1.1833,1.1839
2021-08-05,1.1837,1.1859,1.1829,1.1835
2021-08-06,1.1833,1.1838,1.1755,1.1764
2021-08-09,1.1765,1.1771,1.1735,1.1736
2021-08-10,1.1738,1.1744,1.171,1.1722
2021-08-11,1.1718,1.1755,1.1706,1.174
2021-08-12,1.1741,1.175,1.1724,1.173
2021-08-13,1.1731,1.1806,1.1729,1.1797
2021-08-16,1.1799,1.1803,1.1768,1.1777
2021-08-17,1.1779,1.1786,1.1708,1.1708
2021-08-18,1.171,1.1744,1.1695,1.171
2021-08-19,1.1712,1.1718,1.1667,1.1679
2021-08-20,1.1678,1.1707,1.1665,1.1701
2021-08-23,1.1699,1.1752,1.1693,1.1746
